Rating,Title,Content
1,Unprofessional of Aeroflot staff's working and behaviour to customer,"Mình xin chia sẻ câu chuyện của mình về cách cũng như thái độ làm việc không chuyên nghiệp của Aeroflot Airlines. Ai đi qua xin cho 1 ""like"" hoặc ""comment"" và ""share"" bài giúp mình nếu thấy bất bình để nhiều người biết và Aeroflot sẽ có trách nhiệm bồi thường thích đáng cho khách hàng của mình (những người được tag trên đây là những người làm chứng cho câu chuyện của mình). Xin chân thành cảm ơn!
I would like to share my story about how and the attitude of unprofessional working of Аэрофлот - Российские авиалинии. Whoever goes through please give me a ""like"" or ""comment"" and ""share"" if you feel discontent so many people can know and Aeroflot will be responsible for appropriate compensation for their customers (the people who tagged above are witnesses to my story). Sincerely thanks!

Vào ngày 05/09 tôi đã mua 1 vé khứ hồi: chiều đi 10h45 sáng ngày 28/09/2019, chiều về 00:40 rạng sáng ngày 15/10/2019 chuyến bay SU291 của hãng Aeroflot Aeroflot Russian Airlines đi từ sân bay quốc tế Nội Bài, Hà Nội, Việt Nam đến sân bay quốc tế Ben Gurion, Tel Aviv, Israel The Embassy of Israel, Hanoi với số tiền là 20.516.686VNĐ tương đương với $882 đôla Mỹ bằng thẻ tín dụng cá nhân (vé đã bao gồm cả chi phi bảo hiểm vé máy bay và chi phí du lịch trị giá 1.204.371VNĐ)
I bought an airline ticket for myself on Aeroflot Aeroflot on the 5th of September 2019 for a roundtrip journey commencing on the 28th of September 2019 from Hanoi, Vietnam to Tel Aviv, Israel U.S. Embassy Jerusalem on flight SU 291 with the return leg slated for the 15th of October 2019. The ticket was purchased using a credit card for the amount of 20,516,686 Vietnam dong, equivalent US$882.00 which includes insurance and travel incidentals.

Ngày 28/09/2019 lúc khoảng 8h sáng tôi đã có mặt ở sân bay quốc tế Nội Bài để vào làm thủ tục. Khi đến lượt tôi làm, người làm thủ tục đã hỏi tôi về visa nơi đến. Tôi có trình cho nữ nhân viên này xem về visa mà đoàn tôi gồm 10 người đã được cấp tại phòng Xuất Nhập Cảnh thuộc Bộ Nội Vụ của Nhà nước Israel vào ngày 11/09/2019. Visa có giá trị hiệu lực trong vòng 22 ngày kể từ ngày 26/09/2019, sẽ được cấp dạng VOA (Visa on arrival), nghĩa là visa khi sang đến Israel mới lấy.
On the 28th of September I arrived at Noi Ba International Airport in Hanoi at around 8:00am to proceed with the flight check-in in full pursuance of the flight regulations embodied for this ticket. I produced to the Aeroflot counter staff my ticket and the Visa On Arrival authorization granted by the Israel Ministry of the Interior Ministry of the Interior - Haifa, Israel on the 11th of September 2019. The Visa On Arrival stipulated a validity period of 22 days effective from the 26th of September 2019 will be issued upon our arrival in Israel.

Vì đây là visa dạng điện tử nên ban đầu hãng từ chối, cho rằng đây là bản photocopy nên yêu cầu tôi đưa bản gốc, nhưng sau đó khoảng 10 phút thì người lãnh đạo của hãng đã kiểm tra được thông tin và đồng ý cho tôi đi. Nhưng khi phát hiện ra chỉ có một mình tôi đi thì họ lại dừng tôi lại từ chối không cho tôi bay nữa.
The Aeroflot counter staff initially denied me boarding on suspicion that the Visa On Arrival was a photocopy and requested for the original. I had to explain to this staff member that my Israeli visa is an electronic visa and cannot be produced in paper form. Ten minutes after the check-in process had been initiated, the team leader of the counter staff permitted me to continue the boarding process. However, when they found I was travelling solo, they immediately stopped me from boarding.

Tôi nói lý do vì sao không cho tôi bay thì họ nói visa của tôi là visa theo đoàn nên phải đủ 10 người họ mới cho tôi bay. Tôi giải thích với họ năm ngoái đoàn của chúng tôi cũng chung một visa như thế nhưng bay từ những nơi khác nhau (người ở Hà Nội, người ở Hồ Chí Minh, người ở Tiệp Khắc) và bay các hãng hàng không khác nhau nhưng vẫn bay được bình thường.
I asked them why I was being prevent from boarding the flight and the response was that the visa granted to me was a group visa and hence I had to travel with the entire group of 10 persons to whom this group visa was granted. I explained to the counter staff that in the previous year the church delegation was issued the same type of visa but departed to Israel from different places including Hanoi, Ho Chi Minh City and Czechoslovakia and also on different airlines. They were able to board their flight without any issues.

Và tôi hỏi họ đây là quy định mới của hãng hay sao vì năm ngoái chính mẹ tôi cũng đi Israel bằng hãng hàng không Aeroflot này thì họ nói đây không phải là quy định mới, vẫn như vậy cho nên tôi nói lại lần nữa là đoàn năm ngoái vẫn đi được. Nhưng họ không nghe, không muốn giải quyết giống như thể tôi là một người nói dối. Tôi yêu cầu họ cho tôi xem quy định đó thì họ cho tôi xem bản TIM (travel information manual) trên màn hình check in của họ và họ nói điều này áp dụng cho toàn bộ các hãng bay có chuyến bay đến Israel, tôi nhờ họ chụp lại bản TIM đấy bằng điện thoại của tôi, tôi xem lại nhưng do không đọc kỹ nên tôi vẫn tưởng là phải check in cùng đoàn thật.
I asked the counter staff if this was a new regulation to which they replied it was not and was the same regulations as was in force in 2018 when my mother travelled to Israel. The behavior of the counter staff was one of indifference and when I asked them to show me the Travel Information Manual regarding the boarding procedures for flights to Israel. The answer was the rule applied to all airlines with flights to Israel. I took a photo of the Travel Information Manual using the camera on my mobile phone. I did not read all the clauses in detail and was still under the impression I had to board with the entire group.

Trước khi ra về tôi có yêu cầu hãng viết cho tôi tờ xác nhận vì lý do visa của tôi theo đoàn nên Aeroflot từ chối cho tôi bay do tôi đi một mình, thì họ nói họ không viết, muốn vậy thì về văn phòng tại Hà Nội để xử lý. Tôi có nói là hiện trường đang ở đây thì phải xử lý tại đây thì họ vẫn từ chối nên tôi đành phải ra về. Tuy nhiên tôi có ghi âm và quay hình cuộc nói chuyện này.
Prior to leaving the check-in counter I requested the staff to issue me with a denied boarding statement which clearly stated the reason for being denied boarding was the fact that I was travelling without the group in attendance. They refused to issue a statement in writing and requested that I present myself at the Hanoi Office of Aeroflot to lodge a complaint despite the problem being at the Aeroflot check-in counter at the airport. I departed the check-in counter with all the conversations which had transpired earlier being reliably videotaped.

Do hôm đó là thứ 7, hôm sau là Chủ nhật, chính người ở hãng cũng nói ngày cuối tuần Văn phòng Aeroflot nghỉ nên theo như lời họ nói thì thứ 2 tôi đến Văn phòng Aeroflot tại số 209-210, toà nhà D1, khu ngoại giao đoàn Vạn Phúc, số 298, phố Kim Mã, Ba Đình, Hà Nội gặp anh Trịnh Văn Tuấn – trưởng điều hành bay - để xử lý việc của tôi. Khi đi tôi có đi cùng em Trần Bội Uyên. Tôi kể lại sự việc diễn ra hôm thứ 7 thì anh ngay lập tức dẫn tôi sang phòng khác để cho tôi xem bản TIM đã được in ra.
Since it was a Saturday the Aeroflot office was closed for the weekend so I proceeded to the Aeroflot office in Hanoi the following Monday and was met by Mr. Trinh Van Tuan, the Airport Operations Manager. I was accompanied by Tran Boi Uyen who produced a printed copy of the Travel Information Manual.

Lúc đó tôi có nói lại rằng tờ TIM này chỉ nêu lên việc là đoàn được cấp visa khi đến Israel chứ không hề nói đến chuyện bắt buộc đoàn phải bay cùng nhau đủ 10 người. Một nữ nhân viên sale của Aeroflot ở đó nói chen vào rằng chị ta đã từng đi Israel và khẳng định chắc chắn là đoàn không đi đủ 10 người thì không thể vào Israel được, bản thân tôi đi 1 mình cũng không vào được.
I told Mr. Trinh Van Tuan that the entire group was grated a visa to travel to Israel with no mention of the mandated travel by the entire group together. A female sales clerk present whose identity is hitherto unknown added that she herself had travelled to Israel previously and furthermore stated that the remainder of the group will be unable to travel to Israel as I was not able to go.

Tôi nói rằng hãng không cho tôi bay thì làm sao chị có thể chắc chắn về việc Isarel sẽ không cho tôi vào? Và hiện tại đoàn của tôi không đủ 10 người vì thiếu tôi là 9 và 1 người ốm không đi là 8 nhưng đã vào Israel bình thường. Với thái độ gắt gỏng, nữ nhân viên này nói về tôi như sau: “Tôi thấy chị này là người không bình thường, có vấn đề gì về đầu óc vì giải thích mãi không chịu nghe. Tôi đã từng đi Israel và tôi đảm bảo chắc chắn là đoàn chị không vào được, tôi mừng cho chị vì chị không đi”
I said that since I was denied boarding, how could she be certain that the Israeli immigration authorities will deny me entry as well. The remaining group of eight were granted entry to Israel despite my being denied boarding together with another member who was unable to travel due to sickness. Her answer was quote “I see that this woman is an abnormal person, there is a problem with her mind because she will not listen. I have been to Israel and I am sure that your delegation cannot enter, I am happy for you because you did not go” unquote.

Với lời xúc phạm ấy thì đã làm cho tôi trở nên rất bức xúc và tôi nói tôi sẽ chỉ làm việc với anh Tuấn rồi đi ra lại phòng cũ nơi tôi đã làm việc với anh này. Khi ra đến ngoài anh Tuấn vẫn tiếp tục giữ ý kiến là đoàn của tôi thiếu tôi không thể vào Israel được thì tôi liên hệ với đoàn của tôi bên kia nhờ anh Nguyễn Thế Trung là người đi trong đoàn với tôi qua Israel gửi cho tôi con dấu xuất cảnh tại Hải quan Việt Nam và tờ visa nhập cảnh vào Israel của anh thì được anh hỗ trợ gửi ngay lập tức rồi đưa ngay cho anh Tuấn kiểm tra.
Her unprofessional behavior caused me to revert to Mr. Tuan. However, he insisted that the delegation which was short of two persons will not be allowed to enter Israel. I then contacted Mr. Nguyen The Trung who was in the group to send me his exit seal issued by the Vietnamese Customs together with his Israeli visa as supporting evidence to Mr. Tuan.

Sau đó anh Tuấn hỏi tôi đoàn đi hãng nào, tôi nói đoàn đi của hãng Turkish Airlines, mặc dù đoàn thiếu tôi mà chỉ có 8 người nhưng vẫn được check in làm thủ tục bình thường và giờ này đã có mặt ở Israel được 1 ngày 1 đêm rồi. Thì anh Tuấn gọi điện sang hãng Turlish Airlines để kiểm tra thông tin của đoàn tôi và anh ta khẳng định một câu Turkish Airlines báo cho anh ta là đoàn của tôi đi 10 người. Đây thực sự là một lời nói dối trắng trợn vì danh sách đoàn của tôi là 10 người nhưng bản thân tôi không đi cùng đoàn và 1 người trong đoàn bị ốm thì đoàn của tôi chỉ có 8 người, họ kiếm đâu ra 2 người để làm check in?
After that Mr. Tuan asked me which airline the remaining group was travelling on. I answered it was Turkish Airlines. Ironically all eight members of this group were boarded as per normal and successfully arrived in Israel. Mr. Tuan claimed to have called Turkish Airlines and was purportedly told that the entire group of ten had been boarded on Turkish Airlines which to me was nothing short of dishonesty as I myself being part of the group did not possess a ticket to Israel on Turkish Airlines. Together with the sickness person mentioned earlier, from where did the two other individuals come from to make up the original group size of ten persons?

Ngay lập tức tôi gọi lại cho anh Trung để hỏi rằng đoàn check in hôm tối thứ 7 ở hãng Turkish Airlines là bao nhiêu người thì anh Trung trả lời ngay là chỉ có 8 người. Mặc dù nghe thấy điều đó nhưng anh Tuấn vẫn không một lời giải thích và vẫn nói “chúng tôi từ chối không cho bay và không có trách nhiệm giải quyết gì thêm” rồi mời chúng tôi ra khỏi Văn Phòng. Toàn bộ cuộc nói chuyện này cũng đã được tôi ghi âm, quay hình lại và có em Trần Bội Uyên làm chứng sự việc.
I called Mr. Trung who travelled on Turkish Airlines and asked him how many people from the group boarded Turkish Airlines. The answer was eight.Mr. Tuan despite having heard what had happened continued to insist that the denied boarding was correctly done and asked me and my accomplice to leave the Aeroflot office. Again, the entire conversation was videotaped by Tran Boi Uyen who accompanied me to the Aeroflot office.

PS: vì lý do lịch sự nên các đoạn thu âm và ghi hình mình sẽ gửi cho ai thực sự quan tâm
Due to polite reasons, my recordings and videoclips will be provided to anyone who really cares"
3,Có Wifi nhưng không miễn phí,"Khi đạt độ cao, bạn có thể truy cập Wifi nhưng phải mất tiền, chứ chưa cis gói Free 100Mg như của Emirates. Tuy nhiên, bạn được 2 kiện ký gửi maximum 23kg/kiên và 1 kiện xách tay 10kg cùng 1 túi xách hay balo không quá 5kg nữa."
1,Hãng hàng không tệ nhất,Sẽ là lần đầu tiên và lần cuối cùng mình bay của aeroflot. Máy bay từ Ham trễ 2 tiếng nên làm cho mình trễ chuyến về Hà Nội. Nhân viên không hề có 1 chút thái độ thân thiện nào với khách hàng. Có đến hơn trăm con người bị trễ và cần vé mới nhưng quầy thông tin của hãng chỉ có 2 người để giải quyết. Không có làn để cho mọi người xếp hàng lần lượt chờ giải quyết mà tất cả bu lại bon chen với cái quầy tròn. Mình trễ máy bay từ lúc 8h tối và phải 2h sáng mình mới nhận được vé cho chuyến mơi ( và không bay thẳng về Hà Nội mà vòng qua Hồ Chí Mình rồi bay tiếp của VN airline để về Hà Nội). Qua đêm ở sân bay nhưng không được lo khách sạn. Nhân viên nói hờ hững: chờ thông tin của khách sạn. Và mình qua đêm trên ghế chờ của sân bay để 7h tối ngày hôm sau bay.
2,Một lần dùng dịch vụ của Aeroflot,"Nhìn chung, sự phục vụ của các tiếp viên thuộc hãng hàng không này trên chuyến bay là tốt.
Nhưng có một số vấn đề không được chuyên nghiệp:

1. Những nhân viên kiểm tra hành lý ở sân bay tôi có dịp tiếp xúc, không nói được tiếng anh. Điều này gây khó khăn cho khách hàng khi họ cần hỏi thêm thông tin.

2. Trong chuyến bay của tôi, mặc dù đã vào buồng cách ly, tức là mọi thủ tục kiểm tra hành lý trước đó đều đã thực hiện, nhưng đến giờ bay nhân viên sân bay vẫn bắt buộc các hành khách Việt Nam cân lại hành lý một lần nữa trước khi lên máy bay. Trong khi các hành khách nước khác thì không có chuyện đó. Gây tâm lý bức xúc vì bị phân biệt đối với chúng tôi. Và thái độ của nhân viên kiểm tra cũng rất là không thân thiện."
3,Good,"Phục vụ tận tình và chu đáo,so với các hãng khác thì tôi vẫn muốn đi hãng này hơn,quá tốt
Tuyệt vời."
3,Chuyến bay dễ chịu.,"Khoảng 1 giờ bay với máy bay jet, mình đã chuẩn bị tâm lý là bị xóc nhưng thật bất ngờ, máy bay cất và hạ cánh êm ái. Máy bay tuy nhỏ nhưng sạch sẽ, tiếp viên rất dễ mến, đáng yêu. Thủ tục check in cũng thuận tiện. Mình đã có một chuyến bay dễ chịu."
1,Trải nghiệm không thoải mái,"Chỗ ngồi trên chiếc Boeing 777 được thiết kế bởi và cho Herve Villechaise.
Chỗ ngồi của tôi nhô hẳn ra lối đi nên mỗi khi ai đó đi ngang qua tôi lại bị chọc vào đầu… cách hàng ghế chưa đầy 2 ft là không thể chấp nhận được.
Ngoại hình của các tiếp viên hàng không rất kém… nhân cách thì tốt nhưng kiểu tóc Afro che mất khuôn mặt khi nghiêng về phía trước thì không đẹp chút nào.
Thức ăn thật tệ với món gà bí ẩn cho bữa ăn chính được phục vụ bằng những dụng cụ thu nhỏ bằng nhựa trong suốt mà không thể sử dụng trong hoàn cảnh chỗ ngồi chật chội.
Bữa sáng gồm có bánh sừng bò khô không bơ và sữa chua đóng gói nhỏ.
Có 6 trẻ em dưới 5 tuổi ở 2 hàng ghế mà chúng tôi dự đoán là có vấn đề nhưng chúng đều cư xử tốt nên không có phàn nàn gì ở đó.
Tất cả trong tất cả các trải nghiệm là chật chội, không thoải mái và không phải là rất tốt giá trị đồng tiền.
Chúng tôi sẽ nghiên cứu các giải pháp thay thế cho các chuyến du lịch trong tương lai."
2,Hãng hang không trung bình,"Nếu bay voi hành không air china , thì với tôi là một người đi từ Montreal về Việt Nam thì thuận lợi là khoản thời gian bay , vì chỉ mất chưa đến 24h và chỉ ghé một trạm dừng mà thôi , đó là Bắc Kinh.
Nói về thức ăn thì tạm được , vì là người á châu thì cảm thấy hợp khẩu vị và dễ ăn . Nhưng với những người đến từ xứ khác thì có lẽ cũng tuỳ vùng , nhưng đại đa số thì cho rằng thức ăn không ngon và dỡ. Thực ra chúng ta không có sự lựa chọn khác.
Nói về trạm chuyển đổi ở Bắc Kinh thì tôi thấy tệ và dỡ so với 1 số nước , vì thủ tục rườm rạ và mất qúa nhiều thời gian vì nhân viên qúa ít trong khi thì lại qúa đông hành khách , do đó phải chờ đợi lâu.
Nói về máy bay thì tốt , vì bay từ Montreal về Bắc Kinh thì thường hãng xử dụng máy bay Boeing 787 -9 Treamline
Cho chuyến bay dài thành ra ngồi lâu vẫn thấy thoải mái và không gò bó nhiều. Vả lại với chuyến bay dài như vậy mà giá cả rất hợp lý vì dao động từ 850 - 1200 Cad tuỳ theo mùa . Cũng như thời gian chờ đợi để đổi chuyến bay chỉ mất tẩm 3h thì khỏi chờ đợi lâu. Nhưng thỉnh thoảng , air China hay trễ và như vậy thì hành khách phải chờ thêm mà không có phục vụ hậu mãi.
Nói chung là xử dụng air China tạm được và chấp nhận vì giá như vậy và thời gian ngắn để đi lại ."
3,Tốt,"Nhân viên thân thiện nhiệt tình, món ăn tương đối tốt, thủ tục check in check out nhanh. hướng dẫn tất cả dịch vụ tốt, an toàn. Tôi có giấc ngủ ngon trong chuyến bay dài."
3,Nó thời gian để bay trở lại,"Vào ngày 14 tháng 5, tôi có (theo nghĩa đen) để bay trở lại Mexico City. Air France chắc chắn là hãng hàng không yêu thích của tôi. Lần này tôi bay về một mình. Vợ tôi phải đi chuyến bay sớm hơn nhiều (ba tuần rưỡi vì tình trạng khẩn cấp của gia đình) và Air France cũng giúp chúng tôi trong vấn đề đó. Chuyến bay AF 0178 của tôi cất cánh từ CDG đúng giờ như mọi khi, hạ cánh xuống MEX trước một chút. Chuyến bay là tuyệt vời như nhân viên, dịch vụ chu đáo và thực phẩm và đồ uống.
Điều làm tôi ngạc nhiên nhất lần này là cách Paris Aeroports đã ra đi để giúp mọi người dễ dàng hơn. Nó rất dễ đỗ xe ở phần Depose phút để bạn có thể được thả xuống hoặc nhặt ngay lập tức. An ninh IS rất chặt chẽ và nghiêm ngặt; nhưng các nhân viên rất chu đáo và hữu ích NẾU bạn không có gì để che giấu.
Một tính năng tuyệt vời khác là cách bạn có thể kiểm tra, cân, dán nhãn và ký gửi túi của mình một cách dễ dàng nhất chỉ với một người duy nhất để giúp đỡ trong trường hợp bạn cần. Giải phóng mặt bằng an ninh, bạn tiến tới cổng lên tàu thông qua một chuyến tàu nhỏ một lần ở đó, bất chấp đám đông lớn, Bạn có thể ngồi vào chỗ của bạn trong một khoảng thời gian rất tốt.
Merci mille fois Air France! ! !
Au Revoir et Bient t! ! !"
